1	"νουμηνίᾳ"	0
2	"δευτέρᾳ ἱσταμένου"	0
3	"τρίτῃ ἱσταμένου"	0
4	"τετράδι ἱσταμένου"	0
5	"πέμπτῃ ἱσταμένου"	0
6	"ἕκτῃ ἱσταμένου"	0
7	"ἑβδόμῃ ἱσταμένου"	0
8	"ὀγδόῃ ἱσταμένου"	0
9	"ἐνάτῃ ἱσταμένου"	0
10	"δεκάτῃ ἱσταμένου"	0
11	"ἑνδεκάτῃ"	0
12	"δωδεκάτῃ"	0
13	"τρίτῃ ἐπὶ δέκα"	0
14	"τετράδι ἐπὶ δέκα"	0
15	"πέμπτῃ ἐπὶ δέκα"	0
16	"ἕκτῃ ἐπὶ δέκα"	0
17	"ἑβδόμῃ ἐπὶ δέκα"	0
18	"ὀγδόῃ ἐπὶ δέκα"	0
19	"ἐνάτῃ ἐπὶ δέκα"	0
20	"δεκάτῃ προτέρᾳ"	0
21	"δεκάτῃ ὑστέρᾳ"	0
22	"ἐνάτῃ φθίνοντος"	-9
23	"ὀγδόῃ φθίνοντος"	-8
24	"ἑβδόμῃ φθίνοντος"	-7
25	"ἕκτῃ φθίνοντος"	-6
26	"πέμπτῃ φθίνοντος"	-5
27	"τετράδι φθίνοντος"	-4
28	"τρίτῃ φθίνοντος"	-3
29	"δευτέρᾳ φθίνοντος"	-2
30	"ἕνῃ καὶ νέᾳ"	-1
